Está satisfeito com a ferramenta DreamShaper?;Sentiu que os vídeos da DreamShaper foram úteis para si?;Os exemplos foram úteis para si?;Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?;Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
Nem satisfeito nem insatisfeito;Úteis, mas pouco;Muito úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;;Exemplos;Vídeos;;;;;Gestão de projectos;;;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;Pouco
Nem satisfeito nem insatisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;;;;;;Indicações de interface;;Gestão de equipa;Gestão de projectos;;;Pouco
Nem satisfeito nem insatisfeito;Não foram úteis;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Pouco
Nem satisfeito nem insatisfeito;Úteis, mas pouco;Algo úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;;;Exemplos;;;Indicações de interface;Mural de equipa;;;;;;Navegação na ferramenta;;;Vídeos;;;;;;Acesso a recursos externos;;Pouco
Nem satisfeito nem insatisfeito;Não foram úteis;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;Perguntas;;;;;;;;;Intuitividade;Aspecto visual;;;;Vídeos;;;;;;;Cores;Pouco
Nem satisfeito nem insatisfeito;Úteis, mas pouco;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;;;;;Modelo de negócios;Indicações de interface;;;Gestão de projectos;;;Aspecto visual;Navegação na ferramenta;Perguntas;;;;;;;;;;Pouco
Muito Satisfeito;Foram muito úteis;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;Navegação na ferramenta;;;Vídeos;;;;;;Acesso a recursos externos;;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;Pouco
Muito Satisfeito;Úteis, mas pouco;Muito úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Pouco
Muito insatisfeito;Úteis, mas pouco;Algo úteis;Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;;;Indicações de interface;;;;;nada a salientar;Pouco
Insatisfeito;Úteis, mas pouco;Não, nada úteis;"Tem perguntas a mais; gostaria de ir mais directo ao assunto";;;;;;;Indicações de interface;;Gestão de equipa;Gestão de projectos;;;;;Perguntas;Exemplos;Vídeos;;;;;;;;Pouco
