"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Sentiu que os videos da Dreamshaper foram úteis para si?,Os exemplos foram úteis para si?,"Acha que a ferramenta tem perguntas a mais ou, pelo contrário, gostaria de ter mais perguntas intermédias que ajudam a ir ‘entrando’ nos novos conceitos?",Quais são os seus 3 aspectos preferidos da ferramenta?,E quais são os 3 aspectos que menos gosta?,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4- Muito Satisfeito,"Úteis, mas pouco",Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Modelo de negócios;,Perguntas;Vídeos;Acesso a recursos externos;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Exemplos;Vídeos;,"Clareza da linguagem, as vezes(poucas mas ainda assim acontece) é necessário questionar a equipa para entender o que realmente pretendem. ;Perguntas;Acesso a recursos externos;",Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Vídeos;Gestão de equipa;,Aspecto visual;Navegação na ferramenta;Exemplos;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Vídeos;,Nada a apontar;,Alguma coisa,4,3.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Modelo de negócios;Gestão de projectos;,Indicações de interface;Mural de equipa;Gestão de equipa;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Modelo de negócios;Gestão de projectos;Acesso a recursos externos;,Vídeos;Mural de equipa;Gestão de equipa;,Imenso,4,5.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Exemplos;Indicações de interface;,Pouca diversidade de exemplos;Perguntas;Exemplos;,Bastante,4,4.0
2,"Úteis, mas pouco",Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;Navegação na ferramenta;Indicações de interface;,Perguntas;Exemplos;Modelo de negócios;,Pouco,2,2.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Exemplos;Modelo de negócios;,Indicações de interface;Gestão de equipa;Gestão de projectos;,Bastante,3,4.0
3,"Úteis, mas pouco",Pouco úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Perguntas;,Indicações de interface;Mural de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Exemplos;,Modelo de negócios;Indicações de interface;Mural de equipa;,Bastante,3,4.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Gestão de projectos;,Perguntas;Mural de equipa;Acesso a recursos externos;,Bastante,4,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de interface;Gestão de projectos;Acesso a recursos externos;,Mural de equipa;Gestão de equipa;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Exemplos;Vídeos;Modelo de negócios;,Navegação na ferramenta;Indicações de interface;Mural de equipa;,Alguma coisa,3,3.0
4- Muito Satisfeito,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Perguntas;Modelo de negócios;Gestão de projectos;,Indicações de interface;Mural de equipa;Gestão de equipa;,Alguma coisa,4,3.0
3,Foram muito úteis,Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Modelo de negócios;Indicações de interface;Gestão de equipa;Gestão de projectos;,Perguntas;Acesso a recursos externos;,Bastante,3,4.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Modelo de negócios;Indicações de interface;Gestão de projectos;,Aspecto visual;Navegação na ferramenta;Perguntas;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Navegação na ferramenta;Exemplos;Vídeos;,Modelo de negócios;Gestão de projectos;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Vídeos;,Navegação na ferramenta;Perguntas;Indicações de interface;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Aspecto visual;Navegação na ferramenta;Perguntas;,Modelo de negócios;Acesso a recursos externos;,Imenso,4,5.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Vídeos;Modelo de negócios;Gestão de projectos;,"Exigência de um modelo final profissional, quando o projeto nem sequer está legalmente constituído. ;Mural de equipa;Gestão de projectos;Acesso a recursos externos;",Imenso,4,5.0
4- Muito Satisfeito,"Úteis, mas pouco",Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Perguntas;Vídeos;Modelo de negócios;,Exemplos;Gestão de projectos;Acesso a recursos externos;,Bastante,4,4.0
3,Foram muito úteis,Algo úteis,Tem perguntas a mais; gostaria de ir mais directo ao assunto,Aspecto visual;,Modelo de negócios;Gestão de equipa;Acesso a recursos externos;,Alguma coisa,3,3.0
3,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Exemplos;Vídeos;Indicações de interface;,Modelo de negócios;Mural de equipa;Gestão de equipa;,Bastante,3,4.0
4- Muito Satisfeito,Foram muito úteis,Muito úteis,Gosto do actual equilíbrio de perguntas,Perguntas;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;,Sao todas importantes;,Imenso,4,5.0
2,"Úteis, mas pouco",Pouco úteis,Gosto do actual equilíbrio de perguntas,Gestão de equipa;,Navegação na ferramenta;,Pouco,2,2.0
3,Foram muito úteis,Algo úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Navegação na ferramenta;Exemplos;Vídeos;,Acesso a recursos externos;,Alguma coisa,3,3.0
2,"Úteis, mas pouco",Pouco úteis,Gostaria de ter mais perguntas intermédias para ir aprendendo e melhorando,Aspecto visual;Navegação na ferramenta;Indicações de interface;,Exemplos;Vídeos;Modelo de negócios;,Pouco,2,2.0
3,"Úteis, mas pouco",Algo úteis,Gosto do actual equilíbrio de perguntas,Navegação na ferramenta;Vídeos;Gestão de equipa;,Exemplos;Mural de equipa;Acesso a recursos externos;,Bastante,3,4.0
